id	name	artist	version	bpm	diffNormal	diffHard	diffExpert	diffInferno
2002	ガヴリールドロップキック	ガヴリール(CV:富田美憂)、ヴィーネ(CV:大西沙織)、サターニャ(CV:大空直美)、ラフィエル(CV:花澤香菜)	3	168	3.0	6.9	11.0	0.0
2003	This game	鈴木このみ	3	147	2.0	7.6	10.7	0.0
2004	ポジティブ☆ダンスタイム	キノシタ(kinoshita) feat.音街ウナ・鏡音リン	3	210	3.0	8.9	11.6	0.0
2005	Gimme×Gimme feat. 初音ミク・鏡音リン	八王子P × Giga	3	105	2.0	8.1	12.0	0.0
2006	39みゅーじっく！	みきとP	3	130	2.0	7.4	10.9	0.0
2007	ゆけむり魂温泉 II	魂音泉	3	140	3.0	7.5	12.0	0.0
2008	明星ロケット	岸田教団&THE明星ロケッツ	3	163	2.0	7.5	11.7	0.0
2009	Calamity Fortune	LeaF	3	200	4.0	10.0	13.7	0.0
2010	Grayed Out-Antifront-	Getty vs. DJ DiA	3	190	3.0	9.6	13.2	0.0
2011	インドア系ならトラックメイカー	Yunomi	3	128	2.0	7.5	12.9	0.0
2012	with U	t+pazolite & Massive New Krew feat. リリィ(CV:青木志貴)	3	155	3.0	7.9	11.8	13.6
2013	Tell Me	RiraN	3	150	3.0	7.9	11.8	0.0
2014	THE MUZZLE FACING	かめりあ	3	213	4.0	9.8	13.8	0.0
2015	SUPER REACTOR	Kobaryo feat. HiTNEX-X	3	152	4.0	8.2	13.0	0.0
2016	ONOMATO Pairing!!!	t+pazolite feat. ななひら	3	158	2.0	8.5	12.4	0.0
2017	GENOCIDER	DJ Myosuke	3	250	6.0	11.0	14.1	0.0
2019	ALiVE	REDALiCE	3	170	3.0	7.8	11.0	0.0
2021	ぺこみこ大戦争！！	REDALiCE feat. 兎田ぺこら&さくらみこ	3	180	4.0	8.4	11.2	13.2
2023	キラメキライダー☆	hololive IDOL PROJECT	3	182	2.0	7.0	11.5	0.0
2024	Say!ファンファーレ!	白上フブキ	3	170	3.0	8.6	12.5	0.0
2027	キラッとスタート (USAO Remix)	Run Girls, Run！	3	178	4.0	8.2	12.5	0.0
2028	Make it！ (DJ Genki Remix)	i☆Ris	3	172	3.0	7.8	11.6	0.0
2029	ハート♥イロ♥トリドリ〜ム	彩瀬なる（CV.加藤英美里）	3	140	1.0	6.0	10.1	0.0
2030	Make it！	i☆Ris	3	172	1.0	5.1	9.4	0.0
2031	キラッとスタート	Run Girls, Run！	3	168	2.0	7.4	10.2	0.0
2032	アスノヨゾラ哨戒班	Orangestar feat.IA	3	185	3.0	7.6	11.9	0.0
2033	ヒビカセ	GigaReol	3	140	3.0	8.4	12.3	0.0
2034	脳漿炸裂ガール	れるりり	3	155	5.0	9.5	13.5	0.0
2036	ARTEMiS	BlackY	3	186	4.0	10.6	13.9	0.0
2037	パニックポップ☆フェスティバル!!!	DJ Genki	3	230	5.0	10.0	13.3	0.0
2038	患部で止まってすぐ溶ける ～ 狂気の優曇華院	ARM＋夕野ヨシミ (IOSYS) feat. miko	4	200	3.0	9.8	13.2	0.0
2039	物凄い勢いでけーねが物凄いうた	Halozy	4	180	4.0	9.9	12.2	0.0
2040	Sweet Requiem	REDALiCE & aran	3	190	3.0	9.2	12.7	0.0
2042	Help me, ERINNNNNN!!	ビートまりお（COOL&CREATE）	3	184	3.0	7.7	11.6	0.0
2043	マッチョアネーム？	街雄鳴造（ＣＶ：石川界人）	3	132	2.0	6.6	12.7	0.0
2046	猫娘	かねこちはる	3	140	6.0	10.6	13.7	0.0
2047	Poppin' Shower	P*Light	3	175	3.0	9.8	12.5	0.0
2048	Stasis feat.motoko -WACCA EDiT-	源屋	3	172	4.0	7.9	12.7	0.0
2049	RAV#GIRL	Srav3R	3	175	3.0	7.8	12.6	0.0
2053	フリーフォール	Zekk	3	180	4.0	8.8	12.7	0.0
2054	Liberate	USAO	3	155	4.0	9.5	13.1	0.0
2055	Animosity	Laur	3	210	6.0	10.9	13.8	0.0
2056	Big Bang	Massive New Krew	3	160	7.0	11.0	14.0	0.0
2058	sister's noise	fripSide	4	144	2.0	6.0	10.1	0.0
2059	Fish Fight!	野猿	3	147	4.0	9.0	11.6	0.0
2060	THERAPY	group_inou	3	150	4.0	9.1	12.7	0.0
2062	はげしこの夜 -Psylent Crazy Night-	aran & Kobaryo	3	150	4.0	8.8	13.7	0.0
2065	ニュー・ウェーブ	ミュージカル『テニスの王子様』3rdシーズン	3	150	2.0	6.1	9.3	0.0
2066	夢見る空へ	hololive IDOL PROJECT	3	180	2.0	7.7	11.3	0.0
2067	NEXT COLOR PLANET	星街すいせい	3	132	2.0	7.5	12.6	0.0
2068	HELLO to DREAM	井口裕香	3	160	1.0	6.5	9.7	0.0
2069	over and over	井口裕香	3	170	2.0	7.5	10.4	0.0
2070	KALACAKLA	aran & lapix	3	165	4.0	8.0	12.7	0.0
2071	From Zero feat. 利香	Neko Hacker	3	160	3.0	7.7	11.8	0.0
2072	PRESS START!	KOTONOHOUSE	3	140	4.0	8.7	12.7	0.0
2073	TWISTSTEP	Pa's Lam System	3	170	3.0	8.8	12.7	0.0
2074	Future Cαndy	YUC'e	3	180	3.0	9.1	12.7	0.0
2075	シャカリキ・ファイト・ブンブン	ミュージカル『テニスの王子様』3rdシーズン	3	158	3.0	6.7	11.7	0.0
2076	ワールドイズマイン	supercell	3	165	3.0	8.3	11.6	0.0
2077	ぼくらの16bit戦争	sasakure. UK	3	122	4.0	9.1	13.4	0.0
2078	隔絶≡タナトス	ろひ	3	200	4.0	8.5	13.5	0.0
2079	Weg	ユアミトス ｢Lanota｣より	4	188	3.0	8.6	12.3	0.0
2080	Apocalypse	アリスシャッハと魔法の楽団 ｢Lanota｣より	4	220	2.0	7.6	12.4	0.0
2081	Rainmaker	Kamome sano ｢Lanota｣より	4	180	4.0	9.9	13.5	0.0
2082	You are the Miserable	t+pazolite ｢Lanota｣より	4	163	3.0	10.0	13.9	0.0
2083	Stasis	Maozon ｢Lanota｣より	4	180	3.0	10.2	13.6	0.0
2084	トロピカッ☆バケーション	アイズ・ヴァレンシュタイン（cv.大西沙織）	3	162	2.0	7.5	10.7	0.0
2085	PUPA	モリモリあつし	4	202	4.0	8.6	13.7	0.0
2088	Good Night, Bad Luck.	t+pazolite 「グルーヴコースター」より	3	285	5.0	10.7	13.7	0.0
2089	Got more raves?	E.G.G. 「グルーヴコースター」より	3	266	6.0	10.9	13.5	0.0
2090	グルーヴ・ザ・ハート	ビートまりお＋あまね 「グルーヴコースター」より	3	190	4.0	8.5	12.5	0.0
2091	QiXiN MAdN3ss 2153	DJ Noriken vs MASAKI	3	200	6.0	11.0	13.9	0.0
2092	ホイホイ☆幻想ホロイズム	宝鐘マリン with ホロイズムファンタジー	4	195	3.0	7.7	12.7	0.0
2202	なだめスかし Negotiation	鹿乃と宇崎ちゃん	4	150	3.0	7.7	11.9	0.0
